"bank_account_id","created_at","client_id","coa_id","pld_access_token","is_deleted","pld_item_id","pld_account_id","last_sync","pld_latest_cursor","is_linked","bank_balance"
"278","2025-05-28 15:47:31.180241+00",306,"8275","",False,"","","2025-05-28 15:47:31.180249+00","","not linked",NULL
"97","2025-01-18 16:43:15.050461+00",182,"8218","",False,"","","2025-03-05 15:30:33.964075+00","","not linked","224.69"
"90","2025-01-03 20:23:31.786335+00",180,"4052","not null",False,"1","1",NULL,NULL,"not linked",NULL
"95","2025-01-10 00:36:00.711478+00",180,"4286","not null",False,"1","1",NULL,NULL,"not linked",NULL
"270","2025-05-02 11:40:29.435709+00",298,"8037","",False,"","","2025-05-02 11:40:29.435755+00","","not linked",NULL
"271","2025-05-02 11:40:29.80418+00",298,"8080","",False,"","","2025-05-02 11:40:29.804229+00","","not linked",NULL
"272","2025-05-02 11:40:30.109771+00",298,"8097","",False,"","","2025-05-02 11:40:30.109798+00","","not linked",NULL
"273","2025-05-02 11:40:30.386678+00",298,"8116","",False,"","","2025-05-02 11:40:30.386742+00","","not linked",NULL
"246","2025-02-28 18:47:59.275207+00",255,NULL,"1",False,"1","1",NULL,NULL,"not linked",NULL
"257","2025-03-17 15:13:57.70764+00",261,"7779","",False,"","","2025-03-17 15:14:47.571197+00","","not linked",NULL
"258","2025-03-17 15:13:57.756429+00",261,"7700","",False,"","","2025-03-17 15:14:47.616549+00","","not linked",NULL
"269","2025-04-29 20:10:26.144578+00",296,"7976","",False,"","","2025-04-29 20:10:26.144623+00","","not linked",NULL
"259","2025-03-17 15:13:57.802058+00",261,"7743","",False,"","","2025-03-17 15:14:47.665354+00","","not linked",NULL
"260","2025-03-17 15:13:57.847788+00",261,"7760","",False,"","","2025-03-17 15:14:47.71084+00","","not linked",NULL
"148","2025-02-03 12:09:07.078696+00",199,"5368","",False,"","","2025-05-02 10:30:05.333682+00","","not linked",NULL
"149","2025-02-03 12:09:07.428866+00",199,"5411","",False,"","","2025-05-02 10:30:05.945688+00","","not linked",NULL
"150","2025-02-03 12:09:07.728774+00",199,"5428","",False,"","","2025-05-02 10:30:06.213813+00","","not linked",NULL
"151","2025-02-03 12:09:08.039405+00",199,"5447","",False,"","","2025-05-02 10:30:05.640408+00","","not linked",NULL
"274","2025-05-02 19:09:23.888419+00",299,"8126","",False,"","","2025-05-26 00:00:03.413957+00","","not linked",NULL
"275","2025-05-02 19:09:23.942265+00",299,"8169","",False,"","","2025-05-26 00:00:03.705485+00","","not linked",NULL
"276","2025-05-02 19:09:23.997617+00",299,"8186","",False,"","","2025-05-26 00:00:03.99154+00","","not linked",NULL
"277","2025-05-02 19:09:24.055838+00",299,"8205","",False,"","","2025-05-26 00:00:04.280486+00","","not linked",NULL
"279","2025-05-30 14:28:13.652617+00",180,"8400","",True,"","",NULL,"","not linked",NULL
